,Palabras,+Women,+Women (valores),+Men,+Men (valores),+Tokio,+Tokio (valores),+Japan,+Japan (valores)
9869,Shreveport,Lahore,0.6852831840515137,Lahore,0.7116650342941284,Gharibabad,0.5476095080375671,Lahore,0.6390527486801147
9870,Shrewsbury,André,0.5733715295791626,André,0.5736241340637207,Marcel,0.5703710317611694,André,0.4179110527038574
9871,Shriver,Visit,0.4881286025047302,join,0.4805563986301422,cordially_invite,0.4583379030227661,www.currensee.com,0.39254140853881836
9872,Shuttle,Hollingsworth,0.5343424081802368,Smith,0.5797809362411499,Markette,0.5022147297859192,Webb,0.520092248916626
9873,Siberia,download,0.6560726165771484,download,0.6380399465560913,download,0.5048772692680359,download,0.5708794593811035
9874,Sichuan,Denver_Nuggets,0.6698697805404663,Denver_Nuggets,0.6722372770309448,Nugs,0.5299618244171143,Sixers,0.6024171113967896
9875,Sid,Whatever,0.6376345157623291,Whatever,0.6786829233169556,Irrespective,0.543254017829895,Whatever,0.5691372156143188
9876,Side,Pulham_St,0.43306007981300354,close,0.428460955619812,Yew_Tree_Cottage,0.43938973546028137,Britain,0.3951464891433716
9877,Sidney,Showtime,0.6446164846420288,Showtime,0.6406570672988892,Showtime,0.5135841369628906,Showtime,0.5555307865142822
9878,Sidney_Crosby,potentially_harmful,0.6693977117538452,detrimental,0.5887181758880615,injurious,0.48745161294937134,potentially_harmful,0.6113789677619934
9879,Siegel,DHHS,0.6016794443130493,HHS,0.5333186388015747,Doug_Mormann,0.46988338232040405,Commissioner_Kevin_Goodno,0.5037482380867004
9880,Siemens,PhD,0.7729299068450928,PhD,0.7228567004203796,PhD,0.6110754013061523,PhD,0.6341930627822876
9881,Siena,militias,0.6984663009643555,militias,0.6662051677703857,militias,0.5440680980682373,militias,0.5920629501342773
9882,Sierra,Rule,0.5025954842567444,rules,0.5318530201911926,E.##,0.4522033929824829,rules,0.4615674912929535
9883,Sierra_Club,pinched,0.45876866579055786,Orlando_Palmiero,0.43512505292892456,Uptowner,0.34856486320495605,Impoverished_Yemen,0.4164707660675049
9884,Sierra_Leone,International_Atomic_Energy,0.6905333995819092,International_Atomic_Energy,0.7090185880661011,Agency_IAEA,0.5065033435821533,International_Atomic_Energy,0.6997005939483643
9885,Sign,homelands,0.554232656955719,countrymen,0.561853289604187,homelands,0.403790146112442,United_States,0.5319648385047913
9886,Signature,frou_frou,0.5670077800750732,flashy,0.5357033014297485,snazzy,0.453029990196228,pricey,0.4291192293167114
9887,Signed,Lloyds_TSB,0.624144434928894,HSBC,0.6087926030158997,Lloyds,0.4690213203430176,HSBC,0.5601069927215576
9888,Significant,ranging,0.6245529651641846,ranging,0.6172517538070679,ranging,0.4607938528060913,ranging,0.5734989047050476
9889,Signs,Livni,0.7181735038757324,Ehud_Olmert,0.7058230042457581,Qurei,0.5196652412414551,Prime_Minister_Ehud_Olmert,0.6750248670578003
9890,Sikh,underinsured,0.608235776424408,Uninsured,0.535027027130127,underinsured,0.46495264768600464,uninsured_Coloradans,0.5579949617385864
9891,Sikhs,scrimmages,0.5909141302108765,scrimmages,0.674451470375061,scrimmages,0.5104303956031799,scrimmages,0.5455045700073242
9892,Silence,separately,0.5771495699882507,individual,0.5357352495193481,separately,0.41661444306373596,individual,0.49514248967170715
9893,Silicon_Valley,claycourt,0.573538601398468,Porec_Croatia_starting,0.5129392147064209,claycourt,0.4629136621952057,Porec_Croatia_starting,0.4837667644023895
9894,Silva,pact,0.6316863298416138,pact,0.6622662544250488,agreement,0.5306247472763062,accords,0.5754317045211792
9895,Silver,widow,0.525924801826477,Deceased,0.5314102172851562,Funeral_Parlour,0.45244020223617554,IDs_Digal,0.43556052446365356
9896,Silverman,disasterous,0.6166571378707886,disasterous,0.685189962387085,disasterous,0.5458353757858276,calamitous,0.5916860103607178
9897,Silverstone,redevelop,0.64289790391922,redeveloping,0.6603882312774658,redevelop,0.5975580215454102,revitalization,0.492221474647522
9898,Similar,Gang_Raped,0.48781296610832214,Severed_Head,0.49394065141677856,Exhumed,0.4612281918525696,Shellshock,0.40039122104644775
9899,Similarly,safeguards,0.5887132883071899,protection,0.5480104684829712,protection,0.4567946195602417,safeguards,0.5384369492530823
9900,Simmons,unconstitutionally,0.5899080038070679,unconstitutionally,0.5690418481826782,unconstitutionally,0.4876648187637329,unconsitutional,0.4900771379470825
9901,Simms,Email,0.6268123388290405,Email,0.5963221788406372,Email,0.5126969814300537,Email,0.505490779876709
9902,Simon,terminating,0.5855571031570435,terminate,0.532491147518158,terminating,0.4913631081581116,terminations,0.45070570707321167
9903,Simon_Cowell,Seating,0.6457080841064453,Seating,0.5900079011917114,Seating,0.5321264266967773,Seating,0.49751365184783936
9904,Simone,vanish,0.7339779734611511,vanish,0.7527347803115845,vanish,0.6105169653892517,vanish,0.6268534660339355
9905,Simons,surely,0.5521469116210938,surely,0.6488209962844849,surely,0.46790122985839844,surely,0.532631516456604
9906,Simple,triplets,0.6958866119384766,brothers,0.5858212113380432,triplets,0.5640221834182739,triplets,0.49797323346138
9907,Simply,uprisings,0.6425352692604065,revolt,0.6358509063720703,revolt,0.5284850597381592,uprisings,0.5767253041267395
9908,Simpson,Edition_Ty_Pennington,0.6256741285324097,Edition_Ty_Pennington,0.5708987712860107,Editon,0.504598081111908,Edition_Ty_Pennington,0.5057851076126099
9909,Simpsons,Lady_Rebels,0.690697968006134,Bulldogs,0.6313789486885071,Cobras,0.5172349214553833,Tigers,0.5463024973869324
9910,Sims,autopsies,0.6945328116416931,An_autopsy,0.6505666971206665,autopsies,0.5799983739852905,An_autopsy,0.5203402042388916
9911,Sinai,pinkie,0.5381911993026733,finger,0.5384833812713623,kneecap,0.40998518466949463,pinkie,0.5154283046722412
9912,Since,INFINITE_Software_enjoys,0.518852949142456,installation,0.5072050094604492,installation,0.4718947410583496,INFINITE_Software_enjoys,0.4797268211841583
9913,Sinclair,Liz,0.7364089488983154,Bobby,0.6344730854034424,Lorraine,0.5584615468978882,Liz,0.5301241874694824
9914,Sindh,stretching,0.5619732737541199,stretching,0.5910235047340393,stretching,0.4701465368270874,stretching,0.48944661021232605
9915,Sing,Vargas,0.6731472015380859,Perez,0.6694650650024414,Perez,0.5621927976608276,Marquez,0.5629053711891174
9916,Singapore,Hamas,0.6967813968658447,Fatah_movement,0.7075501680374146,Fatah_movement,0.5249010920524597,Hamas,0.6762404441833496
9917,Singapore_Airlines,HK#.##,0.6320753693580627,HKD,0.5862491726875305,sgd,0.49979355931282043,Hong_Kong,0.6472933292388916
9918,Singer,drains,0.6442162990570068,drains,0.646467924118042,drains,0.5515590906143188,drains,0.5225094556808472
9919,Singh,nicknames,0.6247459650039673,nicknames,0.6540340185165405,nicknames,0.5765466690063477,nicknames,0.48390406370162964
9920,Singing,Gennady_Mesyats,0.40028059482574463,calibur,0.5583328604698181,Gennady_Mesyats,0.3844495713710785,quality,0.38745734095573425
9921,Single,ethnic_minorities,0.6282567381858826,minority,0.5644407272338867,minority,0.5150250792503357,ethnic_minorities,0.5945687294006348
9922,Singles,seemingly_endless,0.664451003074646,seemingly_endless,0.7147297263145447,seemingly_endless,0.5423696041107178,seemingly_endless,0.6044935584068298
9923,Singletary,Methodist,0.6515865921974182,Methodist,0.6324834823608398,Methodist,0.5311998128890991,Presbyterian,0.568952202796936
9924,Singleton,except,0.5145208835601807,except,0.5476402640342712,except,0.40926891565322876,except,0.47544625401496887
9925,Sinn_Fein,compare,0.6083142161369324,compare,0.6528964042663574,compare,0.4844617247581482,compare,0.5628222823143005
9926,Sioux,hell_outta,0.5265488624572754,gotta,0.5666480660438538,ya,0.5063695311546326,guys'll,0.43820804357528687
9927,Sioux_City,##:##_PM_ET,0.7553200125694275,##:##_PM_ET,0.764064610004425,##:##_PM_ET,0.5850746035575867,##:##_AM_ET,0.6896693110466003
9928,Sioux_Falls,wildcard,0.5952147245407104,wildcard,0.6099991202354431,Wild_Card,0.4948562681674957,wildcard,0.5302872657775879
9929,Sir,infielder,0.7174147367477417,infielder,0.7600372433662415,infielder,0.6245427131652832,infielder,0.6056842803955078
9930,Sir_Alex_Ferguson,subtler,0.613628625869751,subtler,0.593600869178772,Subtle,0.5009818077087402,subtler,0.5536556839942932
9931,Sirius,Cottagers,0.7015846967697144,Tottenham,0.7385075092315674,Cottagers,0.5618886947631836,Aston_Villa,0.6603143215179443
9932,Sister,companions,0.5455980896949768,companions,0.5866537094116211,Giant_Schnauzer,0.4608055353164673,companions,0.4806287884712219
9933,Sisters,broadcasting,0.6064018607139587,Broadcaster,0.6486443281173706,Broadcaster,0.5261327624320984,broadcasters,0.5115248560905457
9934,Site,densities,0.697428822517395,densities,0.6945130825042725,densities,0.5711941719055176,densities,0.5877388715744019
9935,Sites,fraudulently,0.6501926183700562,fradulent,0.6346325874328613,fraudulently,0.5632902383804321,bogus,0.5148019194602966
9936,Sitting,Egypt,0.6430099606513977,Tunisian,0.6346165537834167,Tunisian,0.5152493715286255,Egypt,0.6700940728187561
9937,Six,Since,0.4644688367843628,Has,0.4977845847606659,Anibal_Rivera,0.37502461671829224,since,0.4844539165496826
9938,Six_Nations,Alberta,0.7464689016342163,Manitoba,0.6954972147941589,Moosomin,0.5516502857208252,Alberta,0.7141535878181458
9939,Sixers,MarkLogic_Toolkit,0.48710769414901733,MarkLogic_Toolkit,0.5020079612731934,Productionz,0.41825610399246216,MarkLogic_Toolkit,0.4626806974411011
9940,Sixteen,exhibit,0.6675859689712524,Exhibits,0.5903023481369019,exhibit,0.5466245412826538,exhibit,0.49843698740005493
9941,Sixth,biotech,0.740333080291748,biotech,0.7061635851860046,biotech,0.5907998085021973,biotech,0.6133148670196533
9942,Sixty,properly,0.621854305267334,properly,0.617854118347168,properly,0.47046545147895813,properly,0.5586744546890259
9943,Size,batches,0.5439901351928711,batches,0.5162123441696167,batches,0.38111332058906555,batches,0.49940988421440125
9944,Sizemore,Lower,0.5314230918884277,Lower,0.539868950843811,Lower,0.4575824439525604,Lower_Peninsulas,0.43850475549697876
9945,Skate,sex_marriage,0.7459211349487305,sex_marriage,0.7123838067054749,sex_marriage,0.5643918514251709,sex_marriage,0.6467096209526062
9946,Skelton,nightspot,0.693438708782196,nightspot,0.6921398639678955,nightspot,0.6689325571060181,nightspot,0.46908488869667053
9947,Ski,afterward,0.6116864681243896,afterward,0.5750702023506165,Bonca,0.4389435052871704,afterward,0.5594339370727539
9948,Skilling,fluids,0.586531400680542,fluids,0.5387569665908813,fluids,0.45647257566452026,fluids,0.48035886883735657
9949,Skills,famous,0.6270837783813477,legendary,0.7220401763916016,legendary,0.5574865341186523,renowned,0.5259666442871094
9950,Skin,Manhattan,0.5434373021125793,S.F.,0.5724741816520691,HighLine_Ballroom,0.5136709809303284,New_York,0.513751208782196
9951,Skinner,contaminated,0.6509479880332947,contaminated,0.6139239072799683,contaminated,0.5006334781646729,contaminated,0.5523107051849365
9952,Skip,pump,0.6174602508544922,pump,0.6681219935417175,pump,0.512228786945343,pump,0.5558515191078186
9953,Skipper,Oct,0.6830358505249023,Oct,0.6997251510620117,Oct,0.5731199979782104,Aug,0.5849212408065796
9954,Sky,computer,0.5783517360687256,Computers,0.5951733589172363,Computers,0.5319082736968994,computer,0.4686804711818695
9955,Sky_Sports,Scheduling,0.6427170038223267,Scheduling,0.6157820224761963,Scheduling,0.5115315914154053,Scheduling,0.5358879566192627
9956,Skyline,economists,0.6238491535186768,economists,0.6306427717208862,Economists_polled,0.4585299491882324,economists,0.6374214887619019
9957,Skype,TradingMarkets,0.6655020117759705,TradingMarkets,0.656265914440155,TradingMarkets,0.5780590772628784,TradingMarkets,0.5205002427101135
9958,Slade,Fernandez,0.605110764503479,Hernandez,0.5787222385406494,Pillado,0.5716933012008667,Hernandez,0.49854913353919983
9959,Slater,Muncipal,0.6063095331192017,Muncipal,0.5696277618408203,Muncipal,0.6163556575775146,Municipalities,0.4056161642074585
9960,Slaughter,cook,0.6183700561523438,cook,0.5903294086456299,cook,0.558242917060852,reheated,0.4960598349571228
9961,Sleep,feed,0.5639438629150391,feed,0.5930063128471375,feed,0.455549031496048,feed,0.5062226057052612
9962,Slim,discipline,0.4836912155151367,discipline,0.5462530255317688,Sian_Massey_suitability,0.38478967547416687,discipline,0.49496781826019287
9963,Sloan,t_shirts,0.7348255515098572,t_shirts,0.7526189684867859,t_shirts,0.6320919990539551,t_shirts,0.6058194637298584
9964,Slovak,sued,0.7330760955810547,sued,0.6318500638008118,sued,0.5992705821990967,sued,0.5371327996253967
9965,Slovakia,USSR,0.7084765434265137,USSR,0.7389901876449585,USSR,0.568927526473999,USSR,0.6348023414611816
9966,Slovenia,tumbled,0.6936428546905518,tumbled,0.6683608293533325,tumbled,0.5154533982276917,tumbled,0.6146242022514343
9967,Slow,raid,0.5762356519699097,raid,0.5949038863182068,raid,0.49593979120254517,raid,0.47929900884628296
9968,Small,Indigenous,0.659435510635376,Indigenous,0.6217751502990723,Mixe,0.4955733120441437,Indigenous,0.5973379611968994
9969,Small_Business,dig,0.6418247222900391,dig,0.6546119451522827,dig,0.5419945120811462,dig,0.536675214767456
9970,Smaller,distribute,0.5753065347671509,distribute,0.5915102362632751,distribute,0.4976930618286133,distribute,0.47350001335144043
9971,SmarTrend,Economic_Develop_ment,0.6016759276390076,Economic_Develop_ment,0.5863495469093323,Economic_Develop_ment,0.546808123588562,Economic,0.45670783519744873
9972,SmarTrend_R,ANDY_WARHOL_MUSEUM,0.4656974673271179,Side_SxS,0.439943790435791,Joilet,0.4467836618423462,South_Korea,0.41013669967651367
9973,Smart,popping,0.5595371723175049,popping,0.5247811675071716,pops,0.4521564245223999,popping,0.4689714312553406
9974,Smiley,grandmother,0.6888693571090698,grandfather,0.64122074842453,grandmother,0.5386942625045776,parents,0.5433205962181091
9975,Smith,nominating_contests,0.6414574384689331,caucuses,0.5961450338363647,Primaries,0.4956967830657959,nominating_contests,0.5834924578666687
9976,Smithfield,Maryse,0.498113751411438,defensemen_Cam_Barker,0.48092785477638245,Joilet,0.44775986671447754,Campbell,0.4384753108024597
9977,Smithsonian,spinning,0.5197707414627075,spinning,0.5818816423416138,spinning,0.46516653895378113,spinning,0.4522427022457123
9978,Smoke,Properties_NHP,0.5341905355453491,N'wide,0.4635849595069885,MacService_Nationwide_Powerbook,0.40843820571899414,economist_Martin_Gahbauer,0.44665223360061646
9979,Smoking,lift,0.5557233691215515,lift,0.6318109035491943,Lift,0.47392570972442627,lift,0.519400954246521
9980,Smoltz,sequels,0.6472307443618774,videogame_adaptation,0.648922324180603,prequel,0.567751407623291,sequels,0.5697700381278992
9981,Smyth,applications,0.5546256303787231,applications,0.5568464994430542,Application,0.4629075229167938,applications,0.5004076957702637
9982,Snell,arranged,0.599301278591156,arranging,0.5829914808273315,arranged,0.512718915939331,arranging,0.4834078848361969
9983,Snider,British_Airways,0.5279110074043274,Bad_Attitude_Baracus,0.5300556421279907,Aer,0.4659375548362732,British_Airways,0.4920353293418884
9984,Snow,Vaine,0.48956048488616943,FAYETTEVILLE_Ark._Jacksonville_Jaguars,0.5245018005371094,Hammet,0.4571552872657776,Jones,0.43671125173568726
9985,Snyder,Economically,0.6037242412567139,Economically,0.5742436647415161,Economically,0.46160221099853516,Economically,0.5175062417984009
9986,So,Jamie,0.6752103567123413,Chris,0.6851681470870972,Daryl,0.550635039806366,Ian,0.5708792805671692
9987,Soccer,Towards_Low_Carbon,0.5291408896446228,Economic,0.4804970622062683,Busines,0.42789411544799805,Minister_Bakhyt_Sultanov,0.5150614976882935
9988,Socceroos,honor,0.59677654504776,Honoring,0.5971044898033142,Honoring,0.508209228515625,recognizing,0.5034646987915039
9989,Social,dialing,0.6530283689498901,dialing,0.6033191680908203,dialing,0.4869394302368164,dialing,0.5577381253242493
9990,Social_Media,defeat,0.6117992401123047,defeat,0.6904969215393066,defeat,0.515027642250061,defeat,0.571347713470459
9991,Social_Security,Carlos,0.6539914608001709,Luis,0.6942179203033447,Armando,0.6037997007369995,Carlos,0.5426327586174011
9992,Socialist,Pamela,0.6124229431152344,Jackie,0.4796939492225647,Roxanne,0.5307878255844116,Princess_Diana,0.48773735761642456
9993,Socialists,TCU,0.6838161945343018,Brigham_Young,0.6841245889663696,BSU,0.5385593175888062,Brigham_Young,0.6012046337127686
9994,Societe_Generale,artworks,0.6485469341278076,artworks,0.6201542615890503,paintings,0.5397387742996216,artworks,0.517076849937439
9995,Society,farmers,0.6861414909362793,grower,0.697303056716919,grower,0.5971585512161255,Soybean_growers,0.5503551959991455
9996,Soderling,faux_leather,0.6345717310905457,vinyl_upholstery,0.5552660822868347,Leather,0.5828059911727905,supple_leather,0.4754844307899475
9997,Sofia,Modeling,0.593177080154419,Modeling,0.536895215511322,Modeling,0.4944649934768677,firm_Eqecat,0.49237847328186035
9998,Soft,Global,0.5539963245391846,Global,0.5078490376472473,Artco,0.44574686884880066,worldwide,0.6203925013542175
9999,Softball,wobbly,0.5977026224136353,shakey,0.5935471057891846,wobbly,0.45995014905929565,wobbly,0.5179779529571533
10000,Software,Twitter_http://www.twitter.com/KaloramaInfo,0.5491003394126892,Twitter_http://www.twitter.com/KaloramaInfo,0.5110366344451904,Twitter_http://www.twitter.com/KaloramaInfo,0.4377133548259735,follow,0.4592474102973938
10001,Solano,sicknesses,0.5925763845443726,illness,0.6127721071243286,sicknesses,0.5070343613624573,mamey_fruit_bars,0.5375846028327942
10002,Solar,pronounced_deceased,0.707006573677063,pronounced_deceased,0.6059303283691406,pronounced_deceased,0.6256440877914429,Sentara_Norfolk_General,0.4799599051475525
10003,Soldier,vocalists,0.6961819529533386,musicians,0.6723211407661438,vocalists,0.6164594888687134,vocalists,0.5179259777069092
10004,Soldiers,Pictured,0.5977950096130371,Pictured,0.5678458213806152,Pictured,0.5399231910705566,Pictured,0.4234347343444824
10005,Solid,WWE_Diva,0.6773035526275635,Mick_Foley,0.6772031784057617,ECW,0.6104500889778137,TNA,0.5674809813499451
10006,Solidarity,personality,0.586667537689209,personalties,0.6428393125534058,personality,0.5099396109580994,personalties,0.5174681544303894
10007,Solis,staffer,0.6317601203918457,staff,0.5895460844039917,staffer,0.5144100189208984,staff,0.4828949570655823
10008,Solo,Alison,0.6216484308242798,Nick,0.6202118396759033,Jorell,0.5117243528366089,Ian,0.5060703754425049
10009,Solomon,wreckage,0.58650141954422,wreckage,0.5963137745857239,charred_rubble,0.5187062621116638,wreckage,0.48622840642929077
10010,Solution,#-###,0.520866870880127,9dec,0.5633060932159424,9dec,0.5025452375411987,nightwatchman_Mohammad_Sami,0.4493752419948578
10011,Solutions,inspirational,0.6299983263015747,inspirational,0.6818214654922485,inspirational,0.492035835981369,inspirational,0.5948610901832581
10012,Somali,Q,0.6388111114501953,Q,0.6598145961761475,Q,0.5542411804199219,Q,0.5265617370605469
10013,Somali_pirates,Neglect,0.5929800271987915,Neglect,0.5101767182350159,willful_neglect,0.4759381115436554,Ryan_Vander_Zwaag,0.4751519560813904
10014,Somalia,hype_surrounding,0.66294264793396,hype_surrounding,0.6953121423721313,hype_surrounding,0.5028702020645142,hype_surrounding,0.62302565574646
10015,Somalis,traces,0.5421286225318909,tracing,0.5876976251602173,tracing,0.4272999167442322,tracing,0.5092649459838867
10016,Some,bullet,0.6067114472389221,bullet,0.6162437200546265,.9_mm,0.5213527679443359,bullet,0.5126832127571106
10017,Somebody,AIDS,0.7450041770935059,AIDS,0.7013696432113647,AIDS,0.5631619095802307,HIV_Aids,0.6424665451049805
10018,Somehow,Emily,0.7638852596282959,Caleb,0.6415789723396301,Amanda,0.5977833867073059,Emily,0.6037242412567139
10019,Someone,Cullman,0.5131549835205078,Benton,0.5154339075088501,Manager_Alex_Dudchock,0.4554794430732727,Alabama,0.4812033176422119
10020,Somerset,Milford,0.5766516923904419,Plymouth,0.5537534952163696,Charlestown,0.49113523960113525,Brunswick,0.5088226199150085
10021,Somerville,seeking_phosphonate,0.5055608749389648,pair,0.4716233015060425,panties_bras,0.4332343637943268,seeking_phosphonate,0.5105854272842407
10022,Something,preceeded,0.5982009172439575,preceeded,0.5842383503913879,preceeded,0.5133721828460693,preceeded,0.4712880551815033
10023,Sometimes,Labor_Day,0.6510891914367676,Labor_Day,0.6473513841629028,Labor_Day,0.5095512270927429,Labor_Day,0.5695114731788635
10024,Somewhere,absolute_necessity,0.5168057680130005,absolute_necessity,0.5399883985519409,absolute_necessity,0.39591747522354126,absolute_necessity,0.4812726378440857
10025,Son,Rio_de_Janeiro,0.5594611167907715,Rio5_subcompacts,0.5544130802154541,Bosque_Wetlands,0.536860466003418,Brazil,0.5444893836975098
10026,Song,abnormally,0.5614780783653259,exceptionally,0.5854952335357666,uncommonly,0.47080397605895996,abnormally,0.5035271644592285
10027,Songs,McLaren_Mercedes,0.6368217468261719,Mclaren,0.6419951915740967,Mclaren,0.5256320238113403,McLaren_Mercedes,0.559008002281189
10028,Sonia,file_formats,0.6148793697357178,format,0.6271185278892517,file_formats,0.4838303327560425,format,0.541778564453125
10029,Sonia_Gandhi,crashed,0.5752646923065186,crashed,0.6151729226112366,crashed,0.5508444309234619,tumbling,0.5007862448692322
10030,Sonic,dives,0.608471691608429,diving,0.6119165420532227,Dive,0.4908696413040161,dives,0.5448002815246582
10031,Sonics,demographics,0.7034142017364502,demographics,0.6294928789138794,demographics,0.5480650663375854,demographics,0.5629459023475647
10032,Sonny,exam,0.7578589916229248,examinations,0.7129936814308167,exam,0.6477344036102295,examinations,0.5894666910171509
10033,Sonoma,pool,0.6268141269683838,pool,0.6333641409873962,pool,0.5029723048210144,pool,0.5451418161392212
10034,Sons,Guilt,0.5330570936203003,Guilt,0.4975283741950989,guiltiness,0.41986554861068726,Guilt,0.4734498858451843
10035,Sony,contracted,0.5185823440551758,contracted,0.5113712549209595,Contracting,0.5201019048690796,contracted,0.4426822066307068
10036,Sony_Ericsson,voids,0.5664392709732056,voids,0.5551052689552307,voids,0.4910210967063904,voids,0.44115251302719116
10037,Soon,Stephanie,0.7596241235733032,Kyle,0.690273642539978,Amanda,0.6215742826461792,Emily,0.6062124967575073
10038,Sooner,Flyers,0.5642220377922058,Blackhawks,0.608357310295105,Blackhawks,0.45977506041526794,Calgary_Flames,0.5454479455947876
10039,Sooners,Omaha_Neb.,0.6322567462921143,Omaha_Neb.,0.6017523407936096,Papillion,0.5188111066818237,Omaha_Neb.,0.529780387878418
10040,Sophia,Hot_Sour_Salty,0.4968721270561218,coach_Stacy_Luker,0.47878772020339966,Candy_Store,0.47808191180229187,Sweet_Sixteen,0.41128408908843994
10041,Sophie,floats,0.5702569484710693,floats,0.5877835750579834,floats,0.4933739900588989,floats,0.470444917678833
10042,Sophomore,renting,0.6460952758789062,renting,0.5589512586593628,renting,0.5345498919487,renting,0.46720337867736816
10043,Sopranos,Hundreds,0.7507234215736389,Hundreds,0.7362160086631775,Hundreds,0.5907323360443115,Hundreds,0.6458595395088196
10044,Sorensen,operas,0.6858535408973694,operas,0.6706649661064148,operas,0.5663535594940186,operas,0.5630820989608765
10045,Sorenstam,asthmatic,0.6366878747940063,asthmatic,0.6034095287322998,asthmatic,0.5253109931945801,uncontrolled_asthma,0.5387312173843384
10046,Soriano,feminist,0.5487263202667236,intellect,0.5635265111923218,Intellectual,0.44357830286026,Foot_bookish,0.5100054740905762
10047,Sorry,layer,0.6645262837409973,layer,0.6442955136299133,layer,0.5465582609176636,layer,0.5428862571716309
10048,Sosa,ambition,0.6539946794509888,ambition,0.6849689483642578,ambition,0.5178264379501343,ambition,0.5955963730812073
10049,Sotheby,pitcher,0.6300804615020752,relievers,0.6522635221481323,reliver,0.506618320941925,relievers,0.5633646249771118
10050,Soto,upside,0.5477017164230347,upside,0.5384491682052612,upside,0.43396082520484924,nearterm,0.49284785985946655
10051,Sotomayor,concedes,0.6209197640419006,concedes,0.7002539038658142,concedes,0.5146617889404297,concedes,0.5813649296760559
10052,Soul,Reacting,0.4827893078327179,Reacting,0.4658350646495819,Reacting,0.40843647718429565,United_States,0.38854503631591797
10053,Sound,zoo,0.7204573154449463,zoo,0.6587004661560059,zoo,0.6119736433029175,zoo,0.5350096225738525
10054,Sounds,load,0.5753558874130249,load,0.6712726950645447,load,0.533786416053772,load,0.5057561993598938
10055,Source,Move_ment,0.5390199422836304,Move_ment,0.6081998944282532,Move_ment,0.5405356884002686,movement,0.48209744691848755
10056,Sources,surpassing,0.6671589612960815,surpassing,0.7148159742355347,exceeded,0.5426938533782959,surpassing,0.6212025880813599
10057,South,Marketed,0.5263517498970032,Marketed,0.5367641448974609,Marketed,0.44465115666389465,Bukwang_Pharmaceuticals,0.4636743664741516
10058,South_Africa,Gayl_disclosures,0.5030549764633179,hammers,0.5079182982444763,fatally_bludgeon,0.41184455156326294,Gayl_disclosures,0.4451521933078766
10059,South_Africans,gestures,0.5794641971588135,gestures,0.5301693677902222,gestures,0.4510074853897095,gestures,0.47211170196533203
10060,South_Bend,socioeconomic_ladder,0.5696849226951599,ladders,0.5813002586364746,ladders,0.4191495478153229,ladders,0.527851402759552
10061,South_Dakota,ATLANTA_Ga.,0.686298131942749,ATLANTA_Ga.,0.66808021068573,ATLANTA_Ga.,0.5268994569778442,RALEIGH_NC,0.6350538730621338
10062,South_Korea,pieces,0.563128650188446,pieces,0.5271711349487305,pieces,0.45870885252952576,snippets,0.4672561585903168
10063,South_Korean,negotiations,0.6619624495506287,negotiations,0.6866958141326904,negotiations,0.5560698509216309,negotiations,0.5665307641029358
10064,South_Ossetia,broader,0.47393977642059326,Broadly,0.4867512583732605,Broadly,0.389651358127594,broader,0.47296857833862305
10065,South_Waziristan,Apart,0.6536421775817871,Apart,0.6670018434524536,Apart,0.5412115454673767,Apart,0.5583428144454956
10066,Southampton,mechanism,0.6982914209365845,mechanism,0.6984670758247375,mechanism,0.5378686189651489,mechanism,0.6216371059417725
10067,Southeast,minerals,0.619477391242981,minerals,0.6220282912254333,unpatented_claims,0.4826861023902893,minerals,0.5584299564361572
10068,Southeast_Asia,anguish,0.6241725087165833,sorrow,0.623413622379303,sorrow,0.5356945991516113,anguish,0.5424039959907532
10069,Southeast_Asian,sizable,0.5439454317092896,heftier,0.5509264469146729,heftier,0.4131382405757904,heftier,0.4752994179725647
10070,Southeastern,populace,0.5279139280319214,multitudes,0.5189464092254639,populace,0.4779994487762451,oppressed_masses,0.4379146099090576
10071,Southeastern_Conference,cemetery,0.6696237325668335,Cemetary,0.6988397240638733,Cemetary,0.6539320945739746,Memorial_Gardens,0.4747762680053711
10072,Southend,pre,0.5358555912971497,pre,0.6179107427597046,Covent,0.41300880908966064,pre,0.5697070956230164
10073,Southern,arsons,0.5985262393951416,Arson,0.6347612738609314,Arson,0.5156590938568115,arsons,0.5103208422660828
10074,Southern_Baptist,touch,0.46433520317077637,touch,0.4575664699077606,pays_homage,0.37279587984085083,touch,0.43499159812927246
10075,Southern_California,Returns,0.5340454578399658,Returns,0.587746262550354,Returns,0.48377418518066406,Returns,0.4505636692047119
10076,Southern_Miss,aspiration,0.6073157787322998,ambitions,0.6537646055221558,dreams,0.514516294002533,ambitions,0.5410906076431274
10077,Southland,symphony,0.6882345080375671,symphony,0.6608030796051025,Orchestra,0.6015802621841431,orchestras,0.5575299859046936
10078,Southport,Hindu_temple,0.6659753918647766,temples,0.6117750406265259,Siva_temple,0.55653977394104,temples,0.5716723203659058
10079,Southside,Chakaia_Booker,0.4717930257320404,John_Deere_Horicon,0.3989696800708771,Sheet_Metal_Works,0.4774852991104126,China,0.386020302772522
10080,Southwest,suit_alleges,0.6833533048629761,alleging,0.6809836030006409,alleging,0.5720854997634888,alleging,0.5609410405158997
10081,Southwest_Airlines,slices,0.5707292556762695,slices,0.5821141600608826,slices,0.4514322280883789,slices,0.5094163417816162
10082,Southwestern,round_byes,0.5376760363578796,byes,0.5925674438476562,byes,0.4533274173736572,byes,0.46753671765327454
